ANY,EDICIÓ,Director de la cursa,Director de la cursa02,Director de la cursa03
"2005","55","Hans breytfuss","Toni Sanchez",
"2006","56","joan garcia","joan garcia",
"2007","57","joan torras","toni sanchez",
"2008","58","JOAN TORRAS","TONI SANCHEZ",
"2009","59","Joan Torras","Pol Sánchez",
"2010","60","àlex masdeu","pol sanchez",
"2011","61","alex masdeu","esther trullols",
"2017","67","Àlex Masdeu","Carlos Gelpí",
"2018","68","Àlex Masdeu","Carlos Gelpí",
"2019","69","Àle Masdeu","Carlos Gelpí",
"2013","63","Àlex Masdeu","Joan Torras",
"2014","64","àlex Masdeu","Joan Torras",
"2015","65","Àlex Masdeu","Carlos Gelpí",
"2016","66","Àlex Masdeu","Carlos Gelpí",
